bike_id;city_id;status_id;start_point
1;STHLM;1;[18.05767,59.33464]
2;STHLM;1;[18.02549,59.34452]
3;STHLM;1;[18.05064,59.35379]
4;STHLM;1;[18.05015,59.32663]
5;STHLM;1;[18.06541,59.33168]
6;STHLM;1;[18.03367,59.31968]
7;STHLM;1;[18.03629,59.33922]
8;STHLM;1;[18.01224,59.32543]
9;STHLM;1;[18.04576,59.34155]
10;STHLM;1;[18.05238,59.3201]
11;STHLM;1;[18.02398,59.33437]
12;STHLM;1;[18.09423,59.30781]
13;STHLM;1;[18.02233,59.32982]
14;STHLM;1;[18.01344,59.34296]
15;STHLM;1;[18.05371,59.32705]
16;STHLM;1;[18.05508,59.33312]
17;STHLM;1;[18.06656,59.32301]
18;STHLM;1;[18.0653,59.31101]
19;STHLM;1;[18.05948,59.34871]
20;STHLM;1;[18.02852,59.33512]
21;STHLM;1;[18.05502,59.32812]
22;STHLM;1;[18.05477,59.34978]
23;STHLM;1;[18.06465,59.34327]
24;STHLM;1;[18.04492,59.32683]
25;STHLM;1;[18.05593,59.34212]
26;STHLM;1;[18.08545,59.31436]
27;STHLM;1;[18.06471,59.34125]
28;STHLM;1;[18.07478,59.33127]
29;STHLM;1;[18.09524,59.33408]
30;STHLM;1;[17.99804,59.3299]
31;STHLM;1;[18.05576,59.3213]
32;STHLM;1;[18.07122,59.33435]
33;STHLM;1;[18.09341,59.33718]
34;STHLM;1;[18.05827,59.34087]
35;STHLM;1;[18.03363,59.31616]
36;STHLM;1;[18.0271,59.33605]
37;STHLM;1;[18.0577,59.34745]
38;STHLM;1;[18.03627,59.33542]
39;STHLM;1;[18.02419,59.35022]
40;STHLM;1;[18.06032,59.3382]
41;STHLM;1;[18.05352,59.35409]
42;STHLM;1;[18.09969,59.33739]
43;STHLM;1;[18.0399,59.33769]
44;STHLM;1;[18.06149,59.3248]
45;STHLM;1;[18.02747,59.33388]
46;STHLM;1;[18.03161,59.33103]
47;STHLM;1;[18.08448,59.3414]
48;STHLM;1;[18.03938,59.3313]
49;STHLM;1;[18.08582,59.33343]
50;STHLM;1;[18.04235,59.31895]
51;STHLM;1;[18.07209,59.32941]
52;STHLM;1;[18.00611,59.32554]
53;STHLM;1;[18.07654,59.3447]
54;STHLM;1;[18.09717,59.33874]
55;STHLM;1;[18.06743,59.34556]
56;STHLM;1;[18.08063,59.33438]
57;STHLM;1;[18.06279,59.3325]
58;STHLM;1;[18.03119,59.32921]
59;STHLM;1;[18.04065,59.35287]
60;STHLM;1;[18.07992,59.31463]
61;STHLM;1;[18.02569,59.33412]
62;STHLM;1;[18.0772,59.31584]
63;STHLM;1;[18.08657,59.31687]
64;STHLM;1;[18.05357,59.33904]
65;STHLM;1;[18.10229,59.33933]
66;STHLM;1;[18.09433,59.34396]
67;STHLM;1;[18.02779,59.3458]
68;STHLM;1;[18.05309,59.3269]
69;STHLM;1;[18.03244,59.31636]
70;STHLM;1;[18.02439,59.32714]
71;STHLM;1;[18.06667,59.31134]
72;STHLM;1;[18.07859,59.31283]
73;STHLM;1;[18.09297,59.31579]
74;STHLM;1;[18.02785,59.34952]
75;STHLM;1;[18.07477,59.31428]
76;STHLM;1;[18.09112,59.33802]
77;STHLM;1;[18.05301,59.34873]
78;STHLM;1;[18.08633,59.3168]
79;STHLM;1;[18.0917,59.33556]
80;STHLM;1;[18.03814,59.34157]
81;STHLM;1;[18.05745,59.31827]
82;STHLM;1;[18.02066,59.34459]
83;STHLM;1;[18.04865,59.31618]
84;STHLM;1;[18.02747,59.33808]
85;STHLM;1;[18.10193,59.34057]
86;STHLM;1;[18.0813,59.336]
87;STHLM;1;[18.08526,59.34116]
88;STHLM;1;[18.03164,59.34393]
89;STHLM;1;[18.06314,59.31489]
90;STHLM;1;[18.10289,59.33191]
91;STHLM;1;[18.00395,59.32663]
92;STHLM;1;[18.04273,59.31371]
93;STHLM;1;[18.05371,59.32705]
94;STHLM;1;[18.06714,59.33586]
95;STHLM;1;[18.01955,59.34893]
96;STHLM;1;[18.06416,59.33299]
97;STHLM;1;[18.05251,59.34209]
98;STHLM;1;[18.00664,59.32609]
99;STHLM;1;[18.09414,59.33348]
100;STHLM;1;[18.08223,59.31349]
101;STHLM;1;[18.02564,59.34019]
102;STHLM;1;[18.0532,59.3131]
103;STHLM;1;[18.08199,59.33344]
104;STHLM;1;[18.0295,59.33313]
105;STHLM;1;[18.03838,59.32195]
106;STHLM;1;[18.07122,59.34241]
107;STHLM;1;[18.04805,59.34326]
108;STHLM;1;[18.06822,59.3318]
109;STHLM;1;[18.00307,59.33272]
110;STHLM;1;[18.04118,59.31532]
111;STHLM;1;[18.06868,59.30457]
112;STHLM;1;[18.07092,59.34435]
113;STHLM;1;[18.07988,59.34441]
114;STHLM;1;[18.05947,59.33161]
115;STHLM;1;[18.02049,59.33079]
116;STHLM;1;[18.08409,59.34321]
117;STHLM;1;[18.05728,59.31332]
118;STHLM;1;[18.02963,59.33484]
119;STHLM;1;[18.08934,59.33288]
120;STHLM;1;[18.00867,59.33011]
121;STHLM;1;[18.04683,59.34314]
122;STHLM;1;[18.02144,59.3503]
123;STHLM;1;[18.0221,59.35111]
124;STHLM;1;[18.06502,59.33797]
125;STHLM;1;[18.03947,59.35447]
126;STHLM;1;[18.08842,59.30921]
127;STHLM;1;[18.0627,59.34574]
128;STHLM;1;[18.00526,59.33998]
129;STHLM;1;[18.01827,59.31902]
130;STHLM;1;[18.06258,59.30637]
131;STHLM;1;[18.06429,59.32381]
132;STHLM;1;[18.07446,59.3318]
133;STHLM;1;[18.02045,59.34748]
134;STHLM;1;[18.08291,59.34511]
135;STHLM;1;[18.04067,59.32721]
136;STHLM;1;[18.06342,59.33875]
137;STHLM;1;[17.99795,59.33694]
138;STHLM;1;[18.05782,59.34185]
139;STHLM;1;[18.08941,59.33318]
140;STHLM;1;[18.01064,59.33206]
141;STHLM;1;[18.02403,59.33168]
142;STHLM;1;[18.04499,59.32909]
143;STHLM;1;[18.03709,59.34009]
144;STHLM;1;[18.03116,59.34511]
145;STHLM;1;[18.08446,59.33734]
146;STHLM;1;[18.05942,59.312]
147;STHLM;1;[18.05085,59.34923]
148;STHLM;1;[18.05957,59.33063]
149;STHLM;1;[18.07585,59.33274]
150;STHLM;1;[18.10282,59.33204]
151;STHLM;1;[18.06874,59.32266]
152;STHLM;1;[18.00762,59.3346]
153;STHLM;1;[18.03667,59.32245]
154;STHLM;1;[18.06147,59.33435]
155;STHLM;1;[18.09957,59.33954]
156;STHLM;1;[18.06343,59.32059]
157;STHLM;1;[18.03595,59.33476]
158;STHLM;1;[18.06313,59.31489]
159;STHLM;1;[18.10655,59.33327]
160;STHLM;1;[18.06905,59.34465]
161;STHLM;1;[18.05417,59.31639]
162;STHLM;1;[18.08821,59.31757]
163;STHLM;1;[18.02367,59.33128]
164;STHLM;1;[18.06978,59.33865]
165;STHLM;1;[18.0226,59.34722]
166;STHLM;1;[18.09351,59.33553]
167;STHLM;1;[18.06958,59.32034]
168;STHLM;1;[18.01639,59.33334]
169;STHLM;1;[18.03303,59.33231]
170;STHLM;1;[18.09251,59.30793]
171;STHLM;1;[18.02009,59.33371]
172;STHLM;1;[18.05414,59.34378]
173;STHLM;1;[18.03068,59.34937]
174;STHLM;1;[18.08819,59.31778]
175;STHLM;1;[18.0854,59.33744]
176;STHLM;1;[18.07237,59.33671]
177;STHLM;1;[18.02709,59.33587]
178;STHLM;1;[18.03678,59.3224]
179;STHLM;1;[18.05581,59.34909]
180;STHLM;1;[18.04539,59.34568]
181;STHLM;1;[18.03211,59.31809]
182;STHLM;1;[18.04154,59.34382]
183;STHLM;1;[18.07784,59.30882]
184;STHLM;1;[18.0408,59.32749]
185;STHLM;1;[18.06685,59.31387]
186;STHLM;1;[18.03019,59.34005]
187;STHLM;1;[18.04927,59.33595]
188;STHLM;1;[18.03492,59.31658]
189;STHLM;1;[18.05668,59.30889]
190;STHLM;1;[18.02663,59.33649]
191;STHLM;1;[18.05638,59.31341]
192;STHLM;1;[18.01335,59.32591]
193;STHLM;1;[17.99938,59.33561]
194;STHLM;1;[18.00611,59.33264]
195;STHLM;1;[18.06334,59.33038]
